Algorithm,Benchmark,Benchmark_Base,Iterations,Vars,Locs,Edges,Atomic_Stmts,XCVA_Path,Log_Path
BMC_BTOR,adding.1.prop1-back-serstep.btor2,adding.1,8,138,3,3,178,fight_xcfa\btor2-xcfa\adding.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,anderson.1.prop1-back-serstep.btor2,anderson.1,8,287,3,3,353,fight_xcfa\btor2-xcfa\anderson.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,anderson.3.prop1-back-serstep.btor2,anderson.3,8,450,3,3,545,fight_xcfa\btor2-xcfa\anderson.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,bakery.2.prop1-back-serstep.btor2,bakery.2,8,367,3,3,449,fight_xcfa\btor2-xcfa\bakery.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.1.prop1-back-serstep.btor2,driving_phils.1,8,934,3,3,1091,fight_xcfa\btor2-xcfa\driving_phils.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.1.prop1-func-interl.btor2,driving_phils.1,8,934,3,3,1091,fight_xcfa\btor2-xcfa\driving_phils.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.2.prop1-back-serstep.btor2,driving_phils.2,8,974,3,3,1162,fight_xcfa\btor2-xcfa\driving_phils.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.2.prop1-func-interl.btor2,driving_phils.2,8,974,3,3,1162,fight_xcfa\btor2-xcfa\driving_phils.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.3.prop1-back-serstep.btor2,driving_phils.3,8,1270,3,3,1472,fight_xcfa\btor2-xcfa\driving_phils.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.3.prop1-func-interl.btor2,driving_phils.3,8,1270,3,3,1472,fight_xcfa\btor2-xcfa\driving_phils.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.4.prop1-back-serstep.btor2,driving_phils.4,8,1410,3,3,1645,fight_xcfa\btor2-xcfa\driving_phils.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.4.prop1-func-interl.btor2,driving_phils.4,8,1410,3,3,1645,fight_xcfa\btor2-xcfa\driving_phils.4.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.5.prop1-back-serstep.btor2,driving_phils.5,8,1214,3,3,1439,fight_xcfa\btor2-xcfa\driving_phils.5.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,driving_phils.5.prop1-func-interl.btor2,driving_phils.5,8,1214,3,3,1439,fight_xcfa\btor2-xcfa\driving_phils.5.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,leader_filters.2.prop1-back-serstep.btor2,leader_filters.2,8,831,3,3,1027,fight_xcfa\btor2-xcfa\leader_filters.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,peterson.3.prop1-back-serstep.btor2,peterson.3,8,481,3,3,599,fight_xcfa\btor2-xcfa\peterson.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,peterson.6.prop1-back-serstep.btor2,peterson.6,8,664,3,3,820,fight_xcfa\btor2-xcfa\peterson.6.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,production_cell.1.prop1-back-serstep.btor2,production_cell.1,8,724,3,3,901,fight_xcfa\btor2-xcfa\production_cell.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
BMC_BTOR,production_cell.1.prop1-func-interl.btor2,production_cell.1,8,724,3,3,901,fight_xcfa\btor2-xcfa\production_cell.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-bounded.adding.1.prop1-back-serstep.yml.log
