Input Filename,Input Type,Algorithm,Iterations
adding.1.prop1-back-serstep.yml,BTOR2,BMC,8
adding.1.prop1-func-interl.yml,BTOR2,BMC,15
adding.2.prop1-back-serstep.yml,BTOR2,BMC,10
adding.2.prop1-func-interl.yml,BTOR2,BMC,15
adding.3.prop1-back-serstep.yml,BTOR2,BMC,10
adding.3.prop1-func-interl.yml,BTOR2,BMC,16
adding.4.prop1-back-serstep.yml,BTOR2,BMC,10
adding.4.prop1-func-interl.yml,BTOR2,BMC,16
adding.5.prop1-back-serstep.yml,BTOR2,BMC,10
adding.5.prop1-func-interl.yml,BTOR2,BMC,15
adding.6.prop1-back-serstep.yml,BTOR2,BMC,10
adding.6.prop1-func-interl.yml,BTOR2,BMC,15
anderson.1.prop1-back-serstep.yml,BTOR2,BMC,5
anderson.1.prop1-func-interl.yml,BTOR2,BMC,10
anderson.2.prop1-back-serstep.yml,BTOR2,BMC,6
anderson.2.prop1-func-interl.yml,BTOR2,BMC,8
anderson.3.prop1-back-serstep.yml,BTOR2,BMC,5
anderson.3.prop1-func-interl.yml,BTOR2,BMC,7
anderson.4.prop1-back-serstep.yml,BTOR2,BMC,6
anderson.4.prop1-func-interl.yml,BTOR2,BMC,7
anderson.5.prop1-back-serstep.yml,BTOR2,BMC,5
anderson.5.prop1-func-interl.yml,BTOR2,BMC,6
anderson.6.prop1-back-serstep.yml,BTOR2,BMC,5
anderson.6.prop1-func-interl.yml,BTOR2,BMC,5
anderson.7.prop1-back-serstep.yml,BTOR2,BMC,4
anderson.7.prop1-func-interl.yml,BTOR2,BMC,6
anderson.8.prop1-back-serstep.yml,BTOR2,BMC,4
anderson.8.prop1-func-interl.yml,BTOR2,BMC,6
at.1.prop1-back-serstep.yml,BTOR2,BMC,5
at.1.prop1-func-interl.yml,BTOR2,BMC,6
at.2.prop1-back-serstep.yml,BTOR2,BMC,5
at.2.prop1-func-interl.yml,BTOR2,BMC,7
at.3.prop1-back-serstep.yml,BTOR2,BMC,5
at.3.prop1-func-interl.yml,BTOR2,BMC,5
at.4.prop1-back-serstep.yml,BTOR2,BMC,4
at.4.prop1-func-interl.yml,BTOR2,BMC,5
at.5.prop1-back-serstep.yml,BTOR2,BMC,5
at.5.prop1-func-interl.yml,BTOR2,BMC,5
at.6.prop1-back-serstep.yml,BTOR2,BMC,4
at.6.prop1-func-interl.yml,BTOR2,BMC,5
at.7.prop1-back-serstep.yml,BTOR2,BMC,4
at.7.prop1-func-interl.yml,BTOR2,BMC,5
bakery.1.prop1-back-serstep.yml,BTOR2,BMC,8
bakery.1.prop1-func-interl.yml,BTOR2,BMC,11
bakery.2.prop1-back-serstep.yml,BTOR2,BMC,7
bakery.2.prop1-func-interl.yml,BTOR2,BMC,11
bakery.3.prop1-back-serstep.yml,BTOR2,BMC,6
bakery.3.prop1-func-interl.yml,BTOR2,BMC,8
bakery.4.prop1-back-serstep.yml,BTOR2,BMC,6
bakery.4.prop1-func-interl.yml,BTOR2,BMC,8
bakery.5.prop1-back-serstep.yml,BTOR2,BMC,5
bakery.5.prop1-func-interl.yml,BTOR2,BMC,7
bakery.6.prop1-back-serstep.yml,BTOR2,BMC,6
bakery.6.prop1-func-interl.yml,BTOR2,BMC,7
bakery.7.prop1-back-serstep.yml,BTOR2,BMC,5
bakery.7.prop1-func-interl.yml,BTOR2,BMC,7
bakery.8.prop1-back-serstep.yml,BTOR2,BMC,5
bakery.8.prop1-func-interl.yml,BTOR2,BMC,6
blocks.2.prop1-back-serstep.yml,BTOR2,BMC,7
blocks.2.prop1-func-interl.yml,BTOR2,BMC,9
blocks.3.prop1-back-serstep.yml,BTOR2,BMC,6
blocks.3.prop1-func-interl.yml,BTOR2,BMC,8
blocks.4.prop1-back-serstep.yml,BTOR2,BMC,6
blocks.4.prop1-func-interl.yml,BTOR2,BMC,6
bridge.1.prop1-back-serstep.yml,BTOR2,BMC,5
bridge.1.prop1-func-interl.yml,BTOR2,BMC,6
bridge.2.prop1-back-serstep.yml,BTOR2,BMC,4
bridge.2.prop1-func-interl.yml,BTOR2,BMC,5
bridge.3.prop1-back-serstep.yml,BTOR2,BMC,4
bridge.3.prop1-func-interl.yml,BTOR2,BMC,5
brp.1.prop1-back-serstep.yml,BTOR2,BMC,5
brp.1.prop1-func-interl.yml,BTOR2,BMC,7
brp.2.prop1-back-serstep.yml,BTOR2,BMC,6
brp.2.prop1-func-interl.yml,BTOR2,BMC,7
brp.3.prop1-back-serstep.yml,BTOR2,BMC,5
brp.3.prop1-func-interl.yml,BTOR2,BMC,6
brp.4.prop1-back-serstep.yml,BTOR2,BMC,5
brp.4.prop1-func-interl.yml,BTOR2,BMC,6
brp.5.prop1-back-serstep.yml,BTOR2,BMC,5
