Filename,Input Type,Algorithm,CPU Time,Memory
anderson.1.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,22.185776647s,407711744B
anderson.3.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,82.704183111s,1949929472B
anderson.5.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,450.844758109s,6952321024B
anderson.7.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,750.928448566s,5403676672B
bakery.2.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,59.822424932s,1489793024B
cyclic_scheduler.2.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,103.253258838s,1184886784B
cyclic_scheduler.2.prop1-func-interl.yml,BTOR2,CEGAR_PRED,209.577516149s,1254998016B
cyclic_scheduler.4.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,777.446918516s,3264360448B
driving_phils.1.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,31.485670185s,615305216B
driving_phils.1.prop1-func-interl.yml,BTOR2,CEGAR_PRED,14.052013567s,259035136B
driving_phils.2.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,32.795056696s,572522496B
driving_phils.2.prop1-func-interl.yml,BTOR2,CEGAR_PRED,13.104801764s,293556224B
driving_phils.3.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,53.062414435s,766541824B
driving_phils.3.prop1-func-interl.yml,BTOR2,CEGAR_PRED,15.818726766s,342597632B
driving_phils.4.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,50.002238137s,832004096B
driving_phils.4.prop1-func-interl.yml,BTOR2,CEGAR_PRED,15.021744966s,407396352B
driving_phils.5.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,42.810847045s,840818688B
driving_phils.5.prop1-func-interl.yml,BTOR2,CEGAR_PRED,19.399501473s,285634560B
elevator.1.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,545.290388218s,1928998912B
elevator.1.prop1-func-interl.yml,BTOR2,CEGAR_PRED,51.92291965s,791109632B
elevator.2.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,418.813386601s,2553430016B
elevator.2.prop1-func-interl.yml,BTOR2,CEGAR_PRED,30.788739328s,771031040B
elevator_planning.3.prop1-back-serstep.yml,BTOR2,CEGAR_PRED,294.638938996s,2450305024B
