Filename,Input Type,CPU Time,Memory
adding.1.prop1-back-serstep.yml,BTOR2,2.811882899s,111218688B
adding.1.prop1-func-interl.yml,BTOR2,2.653939322s,110866432B
adding.2.prop1-back-serstep.yml,BTOR2,2.78392654s,111472640B
adding.2.prop1-func-interl.yml,BTOR2,5.271290573s,102498304B
adding.3.prop1-back-serstep.yml,BTOR2,6.485602696s,107511808B
adding.3.prop1-func-interl.yml,BTOR2,5.232262602s,101367808B
adding.4.prop1-back-serstep.yml,BTOR2,5.002450207s,107503616B
adding.4.prop1-func-interl.yml,BTOR2,3.54188776s,111296512B
adding.5.prop1-back-serstep.yml,BTOR2,4.874434473s,107864064B
adding.5.prop1-func-interl.yml,BTOR2,4.826701875s,110596096B
adding.6.prop1-back-serstep.yml,BTOR2,3.618373696s,111566848B
adding.6.prop1-func-interl.yml,BTOR2,2.81070085s,111214592B
anderson.1.prop1-back-serstep.yml,BTOR2,4.528431586s,169852928B
anderson.1.prop1-func-interl.yml,BTOR2,4.856445927s,141258752B
anderson.2.prop1-back-serstep.yml,BTOR2,4.187617498s,202838016B
anderson.2.prop1-func-interl.yml,BTOR2,7.468005253s,160579584B
anderson.3.prop1-back-serstep.yml,BTOR2,7.046421928s,213979136B
anderson.3.prop1-func-interl.yml,BTOR2,8.487123304s,185966592B
anderson.4.prop1-back-serstep.yml,BTOR2,7.443943933s,196849664B
anderson.4.prop1-func-interl.yml,BTOR2,4.633807898s,197541888B
anderson.5.prop1-back-serstep.yml,BTOR2,6.096717687s,267718656B
anderson.5.prop1-func-interl.yml,BTOR2,7.837515599s,231665664B
anderson.6.prop1-back-serstep.yml,BTOR2,9.210737579s,257626112B
anderson.6.prop1-func-interl.yml,BTOR2,10.841947758s,238190592B
anderson.7.prop1-back-serstep.yml,BTOR2,11.531002206s,283828224B
anderson.7.prop1-func-interl.yml,BTOR2,11.48821116s,278159360B
anderson.8.prop1-back-serstep.yml,BTOR2,9.403946062s,393768960B
anderson.8.prop1-func-interl.yml,BTOR2,11.358483961s,300003328B
at.1.prop1-back-serstep.yml,BTOR2,11.62346353s,255442944B
at.1.prop1-func-interl.yml,BTOR2,6.101098975s,198836224B
at.2.prop1-back-serstep.yml,BTOR2,5.928123436s,248143872B
at.2.prop1-func-interl.yml,BTOR2,5.864248165s,203481088B
at.3.prop1-back-serstep.yml,BTOR2,14.653790985s,281788416B
