Algorithm,Benchmark,CPU_Time_Seconds,Memory_MB,Iterations,Vars,Locs,Edges,Atomic_Stmts,Algo_Type,Algo_Category
BMC_BTOR,adding.1.prop1-back-serstep.btor2,92.29727891,382.69921875,8,138,3,3,178,BTOR,BMC
BMC_BTOR,anderson.1.prop1-back-serstep.btor2,46.874663572,352.609375,8,287,3,3,353,BTOR,BMC
BMC_BTOR,anderson.3.prop1-back-serstep.btor2,725.423637169,1813.80078125,8,450,3,3,545,BTOR,BMC
BMC_BTOR,bakery.2.prop1-back-serstep.btor2,818.584919371,630.63671875,8,367,3,3,449,BTOR,BMC
BMC_BTOR,driving_phils.1.prop1-back-serstep.btor2,50.17857836,1048.96875,8,934,3,3,1091,BTOR,BMC
BMC_BTOR,driving_phils.1.prop1-func-interl.btor2,10.4032154,277.734375,8,934,3,3,1091,BTOR,BMC
BMC_BTOR,driving_phils.2.prop1-back-serstep.btor2,59.210585932,904.72265625,8,974,3,3,1162,BTOR,BMC
BMC_BTOR,driving_phils.2.prop1-func-interl.btor2,9.516794996,390.3515625,8,974,3,3,1162,BTOR,BMC
BMC_BTOR,driving_phils.3.prop1-back-serstep.btor2,63.98612546,1494.47265625,8,1270,3,3,1472,BTOR,BMC
BMC_BTOR,driving_phils.3.prop1-func-interl.btor2,19.860110198,556.8515625,8,1270,3,3,1472,BTOR,BMC
BMC_BTOR,driving_phils.4.prop1-back-serstep.btor2,99.904545501,1431.4140625,8,1410,3,3,1645,BTOR,BMC
BMC_BTOR,driving_phils.4.prop1-func-interl.btor2,12.637310554,599.3046875,8,1410,3,3,1645,BTOR,BMC
BMC_BTOR,driving_phils.5.prop1-back-serstep.btor2,77.241736325,1200.15625,8,1214,3,3,1439,BTOR,BMC
BMC_BTOR,driving_phils.5.prop1-func-interl.btor2,12.523382688,515.35546875,8,1214,3,3,1439,BTOR,BMC
BMC_BTOR,leader_filters.2.prop1-back-serstep.btor2,841.45457847,904.359375,8,831,3,3,1027,BTOR,BMC
BMC_BTOR,peterson.3.prop1-back-serstep.btor2,151.15047855,664.44140625,8,481,3,3,599,BTOR,BMC
BMC_BTOR,peterson.6.prop1-back-serstep.btor2,777.177637796,960.8046875,8,664,3,3,820,BTOR,BMC
BMC_BTOR,production_cell.1.prop1-back-serstep.btor2,14.840065535,513.53515625,8,724,3,3,901,BTOR,BMC
BMC_BTOR,production_cell.1.prop1-func-interl.btor2,10.458198695,274.75,8,724,3,3,901,BTOR,BMC
BMC_BTOR,production_cell.3.prop1-back-serstep.btor2,21.37813281,943.6796875,8,1039,3,3,1276,BTOR,BMC
BMC_BTOR,production_cell.3.prop1-func-interl.btor2,20.948171702,403.359375,8,1039,3,3,1276,BTOR,BMC
BMC_BTOR,production_cell.5.prop1-back-serstep.btor2,45.233133078,1051.32421875,8,1249,3,3,1526,BTOR,BMC
BMC_BTOR,production_cell.5.prop1-func-interl.btor2,19.960242144,594.03125,8,1249,3,3,1526,BTOR,BMC
BMC_BTOR,production_cell.6.prop1-back-serstep.btor2,31.668294405,1394.1328125,8,1459,3,3,1776,BTOR,BMC
BMC_BTOR,production_cell.6.prop1-func-interl.btor2,22.842975806,926.71484375,8,1459,3,3,1776,BTOR,BMC
BMC_BTOR,protocols.1.prop1-back-serstep.btor2,136.037948449,375.4140625,8,324,3,3,420,BTOR,BMC
BMC_BTOR,protocols.1.prop1-func-interl.btor2,90.575514531,418.3515625,8,324,3,3,420,BTOR,BMC
BMC_BTOR,protocols.2.prop1-back-serstep.btor2,243.849798356,384.52734375,8,367,3,3,474,BTOR,BMC
BMC_BTOR,protocols.2.prop1-func-interl.btor2,434.96834111,458.1640625,8,367,3,3,474,BTOR,BMC
BMC_BTOR,protocols.3.prop1-back-serstep.btor2,640.06669214,859.66015625,8,459,3,3,581,BTOR,BMC
BMC_BTOR,protocols.3.prop1-func-interl.btor2,309.080580166,825.12109375,8,459,3,3,581,BTOR,BMC
BMC_BTOR,protocols.4.prop1-back-serstep.btor2,596.32613662,827.72265625,8,459,3,3,581,BTOR,BMC
BMC_BTOR,protocols.4.prop1-func-interl.btor2,796.273220115,803.61328125,8,459,3,3,581,BTOR,BMC
BMC_BTOR,protocols.5.prop1-back-serstep.btor2,519.249511961,875.765625,8,459,3,3,581,BTOR,BMC
BMC_BTOR,protocols.5.prop1-func-interl.btor2,252.019228605,796.68359375,8,459,3,3,581,BTOR,BMC
BMC_BTOR,resistance.2.prop1-back-serstep.btor2,269.319648851,654.05078125,8,589,3,3,714,BTOR,BMC
BMC_BTOR,resistance.2.prop1-func-interl.btor2,124.634861031,542.96875,8,589,3,3,714,BTOR,BMC
BMC_BTOR,schedule_world.1.prop1-back-serstep.btor2,68.167547013,644.30859375,8,520,3,3,640,BTOR,BMC
BMC_BTOR,schedule_world.1.prop1-func-interl.btor2,198.577448981,667.125,8,520,3,3,640,BTOR,BMC
BMC_BTOR,schedule_world.2.prop1-back-serstep.btor2,150.324688418,839.98828125,8,727,3,3,883,BTOR,BMC
BMC_BTOR,schedule_world.2.prop1-func-interl.btor2,18.423315291,542.39453125,8,727,3,3,883,BTOR,BMC
BMC_BTOR,schedule_world.3.prop1-back-serstep.btor2,42.877517085,1107.02734375,8,934,3,3,1126,BTOR,BMC
BMC_BTOR,schedule_world.3.prop1-func-interl.btor2,23.136677681,666.60546875,8,934,3,3,1126,BTOR,BMC
BMC_BTOR,count2.btor2,6.397559792,135.64453125,8,3,3,3,8,BTOR,BMC
BMC_BTOR,count4.btor2,7.614810867,138.9921875,8,3,3,3,8,BTOR,BMC
BMC_BTOR,factorial4even.btor2,9.895660123,185.78515625,8,8,4,5,17,BTOR,BMC
BMC_BTOR,recount4.btor2,12.182520399,169.44140625,8,7,3,3,16,BTOR,BMC
BMC_BTOR,twocount2.btor2,7.60825332,144.9453125,8,10,3,3,22,BTOR,BMC
BMC_BTOR,twocount32.btor2,8.307566931,174.73828125,8,10,3,3,22,BTOR,BMC
BMC_BTOR,stack-p1.btor2,84.828345914,1350.5703125,8,802,3,3,835,BTOR,BMC
BMC_C,driving_phils.2.prop1-func-interl.c,801.690159206,5702.84375,14,2551,5,4,6027,C,BMC
BMC_C,count2.c,6.683339845,209.421875,14,11,5,4,30,C,BMC
BMC_C,count4.c,9.664287981,232.72265625,14,11,5,4,30,C,BMC
BMC_C,factorial4even.c,26.78438209,304.83203125,14,25,5,5,70,C,BMC
BMC_C,recount4.c,320.110123159,437.046875,14,20,5,4,60,C,BMC
BMC_C,twocount2.c,12.702560833,279.88671875,14,30,5,4,82,C,BMC
BMC_C,twocount32.c,23.758205908,328.1640625,14,28,5,4,74,C,BMC
IMC_BTOR,anderson.1.prop1-back-serstep.btor2,55.218505571,485.69921875,4,287,3,3,353,BTOR,IMC
IMC_BTOR,driving_phils.1.prop1-back-serstep.btor2,57.839633951,1213.62890625,4,934,3,3,1091,BTOR,IMC
