algorithm,input_type,success_rate,avg_cputime,avg_memory_gb,combined_score,rank,successful_runs
CEGAR_EXPL,BTOR2,3.0303030303030303,26.521962342857137,0.440152064,0.4487355307252401,1.0,21
CEGAR_PRED,BTOR2,3.6075036075036073,65.82998509032,0.8311300096,0.36913360570367815,2.0,25
BMC,BTOR2,0.5772005772005772,92.47597646749999,0.480328704,0.335639182504744,3.0,4
K-IND,BTOR2,0.5772005772005772,120.70722027725,0.521475072,0.29101792319340836,4.0,4
IMC,BTOR2,0.4329004329004329,189.92229367533332,0.568475648,0.1841849187177022,5.0,3
IC3,BTOR2,0.0,0.0,0.0,0.0,6.0,0
CEGAR_EXPL,C,2.7417027417027415,95.36988518057895,3.0275021338947368,0.1867354781869401,1.0,19
CEGAR_PRED,C,8.802308802308803,190.21380218136068,3.1120381314098364,0.07040789921545006,2.0,61
BMC,C,3.6075036075036073,193.83783069308,2.70043922432,0.06414083159262743,3.0,25
K-IND,C,3.0303030303030303,177.98135266285712,3.0529830521904766,0.06339736589165484,4.0,21
IMC,C,2.886002886002886,201.1210957881,3.2780140544000003,0.01443001443001443,5.0,20
IC3,C,0.0,0.0,0.0,0.0,6.0,0
