tool		Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8
run set		btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-pred-cegar.btor2-pred	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-expl-cegar.btor2-expl	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-bounded.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-imc.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2	btor2-kind.btor2
word-level-hwmc-benchmarks/bv/btor2/		status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host
beem/adding.1.prop1-back-serstep.yml	false	OUT OF MEMORY	860.063064608	814.4069872009859	15000.158208	cloud-23943	ERROR (verification stuck, after parsing finished)	19.513805134	10.620785968996643	277.200896	cloud-24443	TIMEOUT	991.030324126	975.0800415449776	14694.617088	cloud-23944	TIMEOUT	990.842096331	966.1271591330005	5239.242752	cloud-23942	TIMEOUT	990.546488276	979.4792217960003	2557.079552	cloud-24643
beem/adding.1.prop1-func-interl.yml	false	TIMEOUT	991.603674013	941.7608813630068	13272.809472	cloud-23939	ERROR (verification stuck, after parsing finished)	7.949758219	4.576057541999035	256.577536	cloud-24444	TIMEOUT	991.464254534	972.8705727519991	9568.428032	cloud-24444	TIMEOUT	990.90913426	970.3725551339994	4199.030784	cloud-24444	TIMEOUT	990.479476711	977.4255523849988	1722.732544	cloud-24444
beem/adding.2.prop1-back-serstep.yml	false	TIMEOUT	991.942834634	943.5514699169871	14522.863616	cloud-24444	ERROR (verification stuck, after parsing finished)	18.08245353	9.813765752998734	280.645632	cloud-24441	TIMEOUT	991.314883335	972.752459513009	10309.804032	cloud-24643	TIMEOUT	991.055938178	971.8375723060017	5059.497984	cloud-24443	TIMEOUT	990.635525366	978.951345256999	2594.869248	cloud-24444
beem/adding.2.prop1-func-interl.yml	false	TIMEOUT	991.762216499	937.0752084010164	13969.907712	cloud-23941	ERROR (verification stuck, after parsing finished)	7.340413455	3.9743206450002617	215.228416	cloud-24441	TIMEOUT	991.689081595	972.0637042400012	9687.814144	cloud-24444	TIMEOUT	990.906218903	970.4404893760002	4058.513408	cloud-24444	TIMEOUT	990.394313281	978.4663959930003	1815.769088	cloud-24441
beem/adding.3.prop1-back-serstep.yml	false	TIMEOUT	992.088540995	936.2647645040015	13827.596288	cloud-24444	ERROR (verification stuck, after parsing finished)	17.286102787	9.085130547999142	275.013632	cloud-24444	TIMEOUT	990.909033193	976.3833903500004	12029.259776	cloud-23941	TIMEOUT	990.775878115	968.7259869499994	4422.766592	cloud-24444	TIMEOUT	990.417452115	981.1599460040002	2594.099200	cloud-24643
beem/adding.3.prop1-func-interl.yml	false	TIMEOUT	991.900181702	946.1639174060001	12002.238464	cloud-24441	ERROR (verification stuck, after parsing finished)	8.945592689	4.8682203299999856	211.845120	cloud-24444	TIMEOUT	991.735963629	971.4983779520007	9591.984128	cloud-24444	TIMEOUT	991.120763793	968.4248630500006	3682.103296	cloud-24444	TIMEOUT	990.444799668	979.7420662220011	1984.811008	cloud-24643
beem/adding.4.prop1-back-serstep.yml	false	OUT OF MEMORY	711.912632768	676.5155960399989	15000.158208	cloud-23943	ERROR (verification stuck, after parsing finished)	16.934462918	9.007529518999945	288.792576	cloud-24441	TIMEOUT	991.1567268	975.208749597019	14875.631616	cloud-23940	TIMEOUT	990.849922313	968.4972824729994	4293.292032	cloud-24444	TIMEOUT	990.567262508	978.2902575359985	2480.689152	cloud-24444
beem/adding.4.prop1-func-interl.yml	false	TIMEOUT	991.767908634	939.3203617070103	14003.064832	cloud-23940	ERROR (verification stuck, after parsing finished)	7.261313508	3.9382595630013384	244.977664	cloud-24441	TIMEOUT	990.984184572	977.3072350190196	11964.301312	cloud-23941	TIMEOUT	990.718802174	972.2766786469983	3649.232896	cloud-24643	TIMEOUT	990.434075702	978.9498050179991	1919.889408	cloud-24444
