tool		Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8	Theta 6.11.8
run set		c-bit-expl-cegar.c-bit-expl	c-bit-expl-cegar.c-bit-expl	c-bit-expl-cegar.c-bit-expl	c-bit-expl-cegar.c-bit-expl	c-bit-expl-cegar.c-bit-expl	c-bit-pred-cegar.c-bit-pred	c-bit-pred-cegar.c-bit-pred	c-bit-pred-cegar.c-bit-pred	c-bit-pred-cegar.c-bit-pred	c-bit-pred-cegar.c-bit-pred	c-bit-bounded.c-bit	c-bit-bounded.c-bit	c-bit-bounded.c-bit	c-bit-bounded.c-bit	c-bit-bounded.c-bit	c-bit-imc.c-bit	c-bit-imc.c-bit	c-bit-imc.c-bit	c-bit-imc.c-bit	c-bit-imc.c-bit	c-bit-kind.c-bit	c-bit-kind.c-bit	c-bit-kind.c-bit	c-bit-kind.c-bit	c-bit-kind.c-bit
word-level-hwmc-benchmarks/bv/c-lazyMod/		status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host	status	cputime (s)	walltime (s)	memory (MB)	host
beem/adding.1.prop1-back-serstep.yml	false	ERROR (verification stuck, after parsing finished)	13.772727702	7.583939272000862	400.867328	cloud-24643	TIMEOUT	992.791118223	590.4348321319994	14883.794944	cloud-23943	TIMEOUT	990.27867411	977.7218077669968	842.670080	cloud-24443	TIMEOUT	990.405213947	976.3491746940017	2112.286720	cloud-24643	TIMEOUT	990.311613971	980.8412109359997	1340.026880	cloud-24441
beem/adding.1.prop1-func-interl.yml	false	ERROR (verification stuck, after parsing finished)	14.473957702	7.7586535360023845	376.446976	cloud-24441	OUT OF MEMORY	732.198629418	699.4240233919991	15000.141824	cloud-23941	TIMEOUT	990.293182268	980.3609622340009	896.749568	cloud-24643	TIMEOUT	990.706399828	972.5680960009995	4227.788800	cloud-24444	TIMEOUT	990.34805853	982.5272069009952	1555.894272	cloud-24441
beem/adding.2.prop1-back-serstep.yml	false	ERROR (verification stuck, after parsing finished)	16.38745896	9.360983860999113	456.048640	cloud-24444	TIMEOUT	993.218442476	790.5656755330019	14289.981440	cloud-24441	TIMEOUT	990.249568574	979.1282477540008	861.581312	cloud-24643	TIMEOUT	990.613497503	977.0839360470018	2751.148032	cloud-24643	TIMEOUT	990.26216794	978.0839368279994	992.829440	cloud-24444
beem/adding.2.prop1-func-interl.yml	false	ERROR (verification stuck, after parsing finished)	11.633178695	6.875157267000759	374.558720	cloud-24441	TIMEOUT	991.17280656	961.4749196530029	9384.435712	cloud-24441	TIMEOUT	990.300531504	980.4428879490006	832.135168	cloud-24444	TIMEOUT	991.145888664	973.2681986139978	6222.729216	cloud-24444	TIMEOUT	990.493674525	980.4973264649998	2015.952896	cloud-24444
beem/adding.3.prop1-back-serstep.yml	false	ERROR (verification stuck, after parsing finished)	18.665443168	10.224191014000098	423.194624	cloud-24444	OUT OF MEMORY	399.259992258	256.05854716499744	15000.154112	cloud-23939	TIMEOUT	990.336018363	981.5672497510004	896.761856	cloud-24643	TIMEOUT	990.430867766	978.2644639860009	1931.608064	cloud-24643	TIMEOUT	990.388355526	979.1288938569996	1723.277312	cloud-24441
beem/adding.3.prop1-func-interl.yml	false	ERROR (verification stuck, after parsing finished)	14.473878372	7.899969723002869	358.649856	cloud-24643	OUT OF MEMORY	742.789081262	710.7523072069744	15000.154112	cloud-23943	TIMEOUT	990.286009997	981.7853239710021	832.208896	cloud-24441	TIMEOUT	990.323389438	979.4000970790003	1222.987776	cloud-24444	TIMEOUT	990.370461757	982.3525476180002	2048.294912	cloud-24643
beem/adding.4.prop1-back-serstep.yml	false	ERROR (verification stuck, after parsing finished)	19.371215626	10.42923085500297	438.378496	cloud-24444	OUT OF MEMORY	399.726611433	258.5949303939997	15000.150016	cloud-23941	TIMEOUT	990.260229975	980.1349750629997	767.139840	cloud-24643	TIMEOUT	990.928055968	976.5691332920032	5223.940096	cloud-24643	TIMEOUT	990.332094682	982.4612981500031	1350.787072	cloud-24643
beem/adding.4.prop1-func-interl.yml	false	ERROR (verification stuck, after parsing finished)	17.119869801	9.62024860800011	381.546496	cloud-24444	TIMEOUT	992.221858848	942.484295962	14927.499264	cloud-24444	TIMEOUT	990.205211569	982.7631187689999	892.166144	cloud-24441	TIMEOUT	990.342284274	978.7264739739985	1241.735168	cloud-24443	TIMEOUT	990.449884777	981.4349563239994	2164.019200	cloud-24441
beem/adding.5.prop1-back-serstep.yml	false	ERROR (verification stuck, after parsing finished)	17.316265642	9.744172337006603	431.611904	cloud-24444	OUT OF MEMORY	520.968570071	398.42553531497833	15000.141824	cloud-23941	TIMEOUT	990.271926468	981.2380627360035	815.292416	cloud-24443	TIMEOUT	990.401986591	979.7826351990007	2338.897920	cloud-24643	TIMEOUT	990.339669755	981.6630709559831	1881.681920	cloud-23942
beem/adding.5.prop1-func-interl.yml	false	ERROR (verification stuck, after parsing finished)	15.471288458	8.6840399849998	382.373888	cloud-24441	TIMEOUT	991.740624757	954.0240882340004	13914.525696	cloud-23941	TIMEOUT	990.284041731	981.7750652260002	933.781504	cloud-24441	TIMEOUT	991.476066077	957.8018054950007	11212.988416	cloud-24441	TIMEOUT	990.407715551	980.3522121370006	1822.949376	cloud-24643
