benchmark,iterations_btor2,iterations_c,iterations_match,result_btor2,result_c,results_match,trace_length_btor2,trace_length_c,precision_changes_btor2,precision_changes_c,trace_length_ratio
driving_phils.1.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,1702,4,1,1,425.5
driving_phils.1.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,599,3,0,0,199.66666666666666
driving_phils.2.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,1759,4,1,1,439.75
driving_phils.2.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,600,3,0,0,200.0
driving_phils.3.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,2323,4,1,1,580.75
driving_phils.3.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,814,3,0,0,271.3333333333333
driving_phils.4.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,2577,4,1,1,644.25
driving_phils.4.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,892,3,0,0,297.3333333333333
driving_phils.5.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,2205,4,1,1,551.25
driving_phils.5.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,756,3,0,0,252.0
production_cell.1.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,1259,4,1,1,314.75
production_cell.1.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,522,3,0,0,174.0
production_cell.3.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,1814,4,1,1,453.5
production_cell.3.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,777,3,0,0,259.0
production_cell.5.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,2184,4,1,1,546.0
production_cell.5.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,947,3,0,0,315.6666666666667
production_cell.6.prop1-back-serstep,2,2,True,Unsafe,Unsafe,True,2554,4,1,1,638.5
production_cell.6.prop1-func-interl,1,1,True,Unsafe,Unsafe,True,1117,3,0,0,372.3333333333333
schedule_world.3.prop1-func-interl,2,2,True,Unsafe,Unsafe,True,1361,4,1,1,340.25
