input_type_btor2,run_name_btor2,properties_btor2,expected_verdict_btor2,status_btor2,cputime_btor2,walltime_btor2,memory_btor2,host_btor2,files_btor2,benchmark_id,input_type_c,run_name_c,properties_c,expected_verdict_c,status_c,cputime_c,walltime_c,memory_c,host_c,files_c,cpu_speedup,wall_speedup,memory_ratio
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.1.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,860.063064608,814.4069872009859,15000158208,cloud-23943,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.1.prop1-back-serstep.btor2],adding.1.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.1.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,992.791118223,590.4348321319994,14883794944,cloud-23943,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.1.prop1-back-serstep.c],0.8663081778445295,1.3793342514367692,1.007818117922063
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.1.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.603674013,941.7608813630068,13272809472,cloud-23939,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.1.prop1-func-interl.btor2],adding.1.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.1.prop1-func-interl.yml,unreach-call,false,OUT OF MEMORY,732.198629418,699.4240233919991,15000141824,cloud-23941,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.1.prop1-func-interl.c],1.3542823411199123,1.3464806038485007,0.8848455986438545
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.2.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,991.942834634,943.5514699169871,14522863616,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.2.prop1-back-serstep.btor2],adding.2.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.2.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,993.218442476,790.5656755330019,14289981440,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.2.prop1-back-serstep.c],0.9987156824848922,1.1935143393125962,1.016296884427584
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.2.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.762216499,937.0752084010164,13969907712,cloud-23941,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.2.prop1-func-interl.btor2],adding.2.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.2.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.17280656,961.4749196530029,9384435712,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.2.prop1-func-interl.c],1.0005946591099948,0.9746226232705141,1.4886252237986455
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.3.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,992.088540995,936.2647645040015,13827596288,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.3.prop1-back-serstep.btor2],adding.3.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.3.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,399.259992258,256.05854716499744,15000154112,cloud-23939,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.3.prop1-back-serstep.c],2.484818314462915,3.6564480071844545,0.9218302815261102
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.3.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.900181702,946.1639174060001,12002238464,cloud-24441,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.3.prop1-func-interl.btor2],adding.3.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.3.prop1-func-interl.yml,unreach-call,false,OUT OF MEMORY,742.789081262,710.7523072069744,15000154112,cloud-23943,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.3.prop1-func-interl.c],1.3353725932760885,1.3312146971764565,0.8001410101779093
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.4.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,711.912632768,676.5155960399989,15000158208,cloud-23943,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.4.prop1-back-serstep.btor2],adding.4.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.4.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,399.726611433,258.5949303939997,15000150016,cloud-23941,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.4.prop1-back-serstep.c],1.780998843724286,2.616120876806239,1.0000005461278714
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.4.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.767908634,939.3203617070103,14003064832,cloud-23940,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.4.prop1-func-interl.btor2],adding.4.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.4.prop1-func-interl.yml,unreach-call,false,TIMEOUT,992.221858848,942.484295962,14927499264,cloud-24444,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.4.prop1-func-interl.c],0.9995424912181162,0.9966429846433035,0.9380717147828358
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.5.prop1-back-serstep.yml,unreach-call,false,TIMEOUT,990.904197521,953.9907294919831,6990336000,cloud-23944,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.5.prop1-back-serstep.btor2],adding.5.prop1-back-serstep,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.5.prop1-back-serstep.yml,unreach-call,false,OUT OF MEMORY,520.968570071,398.42553531497833,15000141824,cloud-23941,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.5.prop1-back-serstep.c],1.9020421853586196,2.394401575536062,0.4660179938309362
btor2,../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.5.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.678196327,938.6038807570003,13882753024,cloud-23940,[../../../word-level-hwmc-benchmarks/bv/btor2/beem/adding.5.prop1-func-interl.btor2],adding.5.prop1-func-interl,c,../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.5.prop1-func-interl.yml,unreach-call,false,TIMEOUT,991.740624757,954.0240882340004,13914525696,cloud-23941,[../../../word-level-hwmc-benchmarks/bv/c-lazyMod/beem/adding.5.prop1-func-interl.c],0.9999370516560061,0.9838366686258997,0.9977165824625173
